Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
520,1997,NBA,2,48,WAS,Predrag Drobnjak,21.247,C,me,,2002.0,2005.0,278.0,19.9,7.9,3.5,0.8,0.5,0.4,0.425,0.433,0.34,0.799,5.6,0.048
521,2005,NBA,2,38,ORL,Travis Diener,23.125,G,us,Marquette University,2006.0,2010.0,179.0,14.9,4.8,1.4,2.4,0.4,0.1,0.388,0.442,0.353,0.847,5.6,0.102
522,2011,NBA,2,42,IND,Davis Bertans,18.227,F,lv,,2017.0,2019.0,148.0,13.2,5.3,1.8,0.9,0.3,0.4,0.443,0.575,0.39,0.824,5.6,0.136
523,2005,NBA,1,25,SEA,Johan Petro,19.157,C,fr,,2006.0,2013.0,473.0,15.4,4.7,3.9,0.5,0.4,0.5,0.462,0.464,0.154,0.678,5.5,0.037
524,2015,NBA,1,24,CLE,Tyus Jones,19.05,G,us,Duke University,2016.0,2019.0,185.0,15.8,4.4,1.4,2.8,1.0,0.1,0.417,0.462,0.346,0.812,5.5,0.09
525,2015,NBA,2,35,PHI,Willy Hernangomez,21.034,C,es,,2017.0,2019.0,126.0,15.1,6.9,5.7,1.1,0.5,0.4,0.535,0.544,0.355,0.703,5.5,0.139
526,2008,NBA,2,40,NJN,Chris Douglas-Roberts,21.175,G,us,University of Memphis,2009.0,2015.0,222.0,19.7,7.1,2.1,1.1,0.6,0.2,0.439,0.465,0.329,0.831,5.4,0.059
527,2017,NBA,1,19,ATL,John Collins,19.277,F,us,Wake Forest University,2018.0,2018.0,74.0,24.1,10.5,7.3,1.3,0.6,1.1,0.576,0.598,0.34,0.715,5.4,0.145
528,2017,NBA,1,13,DEN,Donovan Mitchell,20.293,G,us,University of Louisville,2018.0,2019.0,83.0,33.6,20.6,3.7,3.7,1.5,0.3,0.435,0.501,0.338,0.8,5.3,0.091
529,1998,NBA,1,27,SEA,Vladimir Stepania,22.052,C,ge,,1999.0,2004.0,270.0,13.8,4.1,4.4,0.3,0.4,0.5,0.425,0.429,0.133,0.536,5.2,0.067
